Fra;Til;KWH 60 Forbruk;Kvalitet
01.10.2023 00:00;01.10.2023 01:00;1,77;Avlest
01.10.2023 01:00;01.10.2023 02:00;1,74;Avlest
01.10.2023 02:00;01.10.2023 03:00;1,75;Avlest
01.10.2023 03:00;01.10.2023 04:00;1,75;Avlest
01.10.2023 04:00;01.10.2023 05:00;1,78;Avlest
01.10.2023 05:00;01.10.2023 06:00;1,77;Avlest
01.10.2023 06:00;01.10.2023 07:00;1,77;Avlest
01.10.2023 07:00;01.10.2023 08:00;1,64;Avlest
01.10.2023 08:00;01.10.2023 09:00;0,6;Avlest
01.10.2023 09:00;01.10.2023 10:00;0,19;Avlest
01.10.2023 10:00;01.10.2023 11:00;0;Avlest
01.10.2023 11:00;01.10.2023 12:00;0;Avlest
01.10.2023 12:00;01.10.2023 13:00;0;Avlest
01.10.2023 13:00;01.10.2023 14:00;0;Avlest
01.10.2023 14:00;01.10.2023 15:00;0,06;Avlest
01.10.2023 15:00;01.10.2023 16:00;0;Avlest
01.10.2023 16:00;01.10.2023 17:00;3,22;Avlest
01.10.2023 17:00;01.10.2023 18:00;10,03;Avlest
01.10.2023 18:00;01.10.2023 19:00;7,27;Avlest
01.10.2023 19:00;01.10.2023 20:00;5,82;Avlest
01.10.2023 20:00;01.10.2023 21:00;2,33;Avlest
01.10.2023 21:00;01.10.2023 22:00;1,63;Avlest
01.10.2023 22:00;01.10.2023 23:00;1,34;Avlest
01.10.2023 23:00;02.10.2023 00:00;0,95;Avlest
02.10.2023 00:00;02.10.2023 01:00;1,05;Avlest
02.10.2023 01:00;02.10.2023 02:00;1,15;Avlest
02.10.2023 02:00;02.10.2023 03:00;1,39;Avlest
02.10.2023 03:00;02.10.2023 04:00;1;Avlest
02.10.2023 04:00;02.10.2023 05:00;1,06;Avlest
02.10.2023 05:00;02.10.2023 06:00;1,39;Avlest
02.10.2023 06:00;02.10.2023 07:00;3,87;Avlest
02.10.2023 07:00;02.10.2023 08:00;1,22;Avlest
02.10.2023 08:00;02.10.2023 09:00;0,42;Avlest
02.10.2023 09:00;02.10.2023 10:00;0,18;Avlest
02.10.2023 10:00;02.10.2023 11:00;0,01;Avlest
02.10.2023 11:00;02.10.2023 12:00;0,14;Avlest
02.10.2023 12:00;02.10.2023 13:00;0;Avlest
02.10.2023 13:00;02.10.2023 14:00;0;Avlest
02.10.2023 14:00;02.10.2023 15:00;0,07;Avlest
02.10.2023 15:00;02.10.2023 16:00;0,01;Avlest
02.10.2023 16:00;02.10.2023 17:00;0;Avlest
02.10.2023 17:00;02.10.2023 18:00;0,55;Avlest
02.10.2023 18:00;02.10.2023 19:00;3,53;Avlest
02.10.2023 19:00;02.10.2023 20:00;9,42;Avlest
02.10.2023 20:00;02.10.2023 21:00;9,57;Avlest
02.10.2023 21:00;02.10.2023 22:00;4,22;Avlest
02.10.2023 22:00;02.10.2023 23:00;1,55;Avlest
02.10.2023 23:00;03.10.2023 00:00;1,87;Avlest
03.10.2023 00:00;03.10.2023 01:00;1,32;Avlest
03.10.2023 01:00;03.10.2023 02:00;1,34;Avlest
03.10.2023 02:00;03.10.2023 03:00;1,29;Avlest
03.10.2023 03:00;03.10.2023 04:00;1,41;Avlest
03.10.2023 04:00;03.10.2023 05:00;1,48;Avlest
03.10.2023 05:00;03.10.2023 06:00;1,69;Avlest
03.10.2023 06:00;03.10.2023 07:00;1,49;Avlest
03.10.2023 07:00;03.10.2023 08:00;1,63;Avlest
03.10.2023 08:00;03.10.2023 09:00;2,26;Avlest
03.10.2023 09:00;03.10.2023 10:00;1,21;Avlest
03.10.2023 10:00;03.10.2023 11:00;0,24;Avlest
03.10.2023 11:00;03.10.2023 12:00;0,01;Avlest
03.10.2023 12:00;03.10.2023 13:00;0;Avlest
03.10.2023 13:00;03.10.2023 14:00;0,01;Avlest
03.10.2023 14:00;03.10.2023 15:00;0,07;Avlest
03.10.2023 15:00;03.10.2023 16:00;0,2;Avlest
03.10.2023 16:00;03.10.2023 17:00;5,6;Avlest
03.10.2023 17:00;03.10.2023 18:00;7,36;Avlest
03.10.2023 18:00;03.10.2023 19:00;2,23;Avlest
03.10.2023 19:00;03.10.2023 20:00;1,95;Avlest
03.10.2023 20:00;03.10.2023 21:00;2,27;Avlest
03.10.2023 21:00;03.10.2023 22:00;2,54;Avlest
03.10.2023 22:00;03.10.2023 23:00;1,47;Avlest
03.10.2023 23:00;04.10.2023 00:00;1,4;Avlest
04.10.2023 00:00;04.10.2023 01:00;1,36;Avlest
04.10.2023 01:00;04.10.2023 02:00;1,32;Avlest
04.10.2023 02:00;04.10.2023 03:00;1,41;Avlest
04.10.2023 03:00;04.10.2023 04:00;1,7;Avlest
04.10.2023 04:00;04.10.2023 05:00;1,41;Avlest
04.10.2023 05:00;04.10.2023 06:00;1,54;Avlest
04.10.2023 06:00;04.10.2023 07:00;1,94;Avlest
04.10.2023 07:00;04.10.2023 08:00;1,88;Avlest
04.10.2023 08:00;04.10.2023 09:00;1,38;Avlest
04.10.2023 09:00;04.10.2023 10:00;0,15;Avlest
04.10.2023 10:00;04.10.2023 11:00;0;Avlest
04.10.2023 11:00;04.10.2023 12:00;0;Avlest
04.10.2023 12:00;04.10.2023 13:00;0,03;Avlest
04.10.2023 13:00;04.10.2023 14:00;0;Avlest
04.10.2023 14:00;04.10.2023 15:00;0;Avlest
04.10.2023 15:00;04.10.2023 16:00;0,09;Avlest
04.10.2023 16:00;04.10.2023 17:00;1,26;Avlest
04.10.2023 17:00;04.10.2023 18:00;1,61;Avlest
04.10.2023 18:00;04.10.2023 19:00;2,69;Avlest
04.10.2023 19:00;04.10.2023 20:00;1,7;Avlest
04.10.2023 20:00;04.10.2023 21:00;6,88;Avlest
04.10.2023 21:00;04.10.2023 22:00;8,54;Avlest
04.10.2023 22:00;04.10.2023 23:00;8,6;Avlest
04.10.2023 23:00;05.10.2023 00:00;8,36;Avlest
05.10.2023 00:00;05.10.2023 01:00;2,33;Avlest
05.10.2023 01:00;05.10.2023 02:00;1,17;Avlest
05.10.2023 02:00;05.10.2023 03:00;1,46;Avlest
05.10.2023 03:00;05.10.2023 04:00;1,61;Avlest
05.10.2023 04:00;05.10.2023 05:00;1,75;Avlest
05.10.2023 05:00;05.10.2023 06:00;1,68;Avlest
05.10.2023 06:00;05.10.2023 07:00;1,72;Avlest
05.10.2023 07:00;05.10.2023 08:00;1,75;Avlest
05.10.2023 08:00;05.10.2023 09:00;2,62;Avlest
05.10.2023 09:00;05.10.2023 10:00;0,39;Avlest
05.10.2023 10:00;05.10.2023 11:00;0;Avlest
05.10.2023 11:00;05.10.2023 12:00;0;Avlest
05.10.2023 12:00;05.10.2023 13:00;0;Avlest
05.10.2023 13:00;05.10.2023 14:00;0;Avlest
05.10.2023 14:00;05.10.2023 15:00;0;Avlest
05.10.2023 15:00;05.10.2023 16:00;0;Avlest
05.10.2023 16:00;05.10.2023 17:00;0;Avlest
05.10.2023 17:00;05.10.2023 18:00;0,34;Avlest
05.10.2023 18:00;05.10.2023 19:00;4,63;Avlest
05.10.2023 19:00;05.10.2023 20:00;8,6;Avlest
05.10.2023 20:00;05.10.2023 21:00;2,15;Avlest
05.10.2023 21:00;05.10.2023 22:00;2;Avlest
05.10.2023 22:00;05.10.2023 23:00;1,36;Avlest
05.10.2023 23:00;06.10.2023 00:00;1,55;Avlest
06.10.2023 00:00;06.10.2023 01:00;1,22;Avlest
06.10.2023 01:00;06.10.2023 02:00;1,29;Avlest
06.10.2023 02:00;06.10.2023 03:00;1,41;Avlest
06.10.2023 03:00;06.10.2023 04:00;1,38;Avlest
06.10.2023 04:00;06.10.2023 05:00;1,48;Avlest
06.10.2023 05:00;06.10.2023 06:00;1,51;Avlest
06.10.2023 06:00;06.10.2023 07:00;1,48;Avlest
06.10.2023 07:00;06.10.2023 08:00;2,53;Avlest
06.10.2023 08:00;06.10.2023 09:00;1,94;Avlest
06.10.2023 09:00;06.10.2023 10:00;1,53;Avlest
06.10.2023 10:00;06.10.2023 11:00;1,25;Avlest
06.10.2023 11:00;06.10.2023 12:00;1,04;Avlest
06.10.2023 12:00;06.10.2023 13:00;0,31;Avlest
06.10.2023 13:00;06.10.2023 14:00;0,33;Avlest
06.10.2023 14:00;06.10.2023 15:00;0,33;Avlest
06.10.2023 15:00;06.10.2023 16:00;0,38;Avlest
06.10.2023 16:00;06.10.2023 17:00;6,24;Avlest
06.10.2023 17:00;06.10.2023 18:00;8,16;Avlest
06.10.2023 18:00;06.10.2023 19:00;3,4;Avlest
06.10.2023 19:00;06.10.2023 20:00;1,74;Avlest
06.10.2023 20:00;06.10.2023 21:00;1,56;Avlest
06.10.2023 21:00;06.10.2023 22:00;1,34;Avlest
06.10.2023 22:00;06.10.2023 23:00;1,47;Avlest
06.10.2023 23:00;07.10.2023 00:00;8,63;Avlest
07.10.2023 00:00;07.10.2023 01:00;8,24;Avlest
