Fra;Til;KWH 60 Forbruk;Kvalitet
01.01.2023 00:00;01.01.2023 01:00;2;Avlest
01.01.2023 01:00;01.01.2023 02:00;2;Avlest
01.01.2023 02:00;01.01.2023 03:00;2,08;Avlest
01.01.2023 03:00;01.01.2023 04:00;2,07;Avlest
01.01.2023 04:00;01.01.2023 05:00;1,95;Avlest
01.01.2023 05:00;01.01.2023 06:00;2,15;Avlest
01.01.2023 06:00;01.01.2023 07:00;2,21;Avlest
01.01.2023 07:00;01.01.2023 08:00;2,12;Avlest
01.01.2023 08:00;01.01.2023 09:00;1,96;Avlest
01.01.2023 09:00;01.01.2023 10:00;1,33;Avlest
01.01.2023 10:00;01.01.2023 11:00;1,15;Avlest
01.01.2023 11:00;01.01.2023 12:00;1,4;Avlest
01.01.2023 12:00;01.01.2023 13:00;1,8;Avlest
01.01.2023 13:00;01.01.2023 14:00;1,84;Avlest
01.01.2023 14:00;01.01.2023 15:00;1,66;Avlest
01.01.2023 15:00;01.01.2023 16:00;2,01;Avlest
01.01.2023 16:00;01.01.2023 17:00;2,18;Avlest
01.01.2023 17:00;01.01.2023 18:00;2,03;Avlest
01.01.2023 18:00;01.01.2023 19:00;2,18;Avlest
01.01.2023 19:00;01.01.2023 20:00;2,01;Avlest
01.01.2023 20:00;01.01.2023 21:00;1,66;Avlest
01.01.2023 21:00;01.01.2023 22:00;1,88;Avlest
01.01.2023 22:00;01.01.2023 23:00;1,31;Avlest
01.01.2023 23:00;02.01.2023 00:00;1,63;Avlest
02.01.2023 00:00;02.01.2023 01:00;0,6;Avlest
02.01.2023 01:00;02.01.2023 02:00;0,58;Avlest
02.01.2023 02:00;02.01.2023 03:00;1,58;Avlest
02.01.2023 03:00;02.01.2023 04:00;0,7;Avlest
02.01.2023 04:00;02.01.2023 05:00;0,67;Avlest
02.01.2023 05:00;02.01.2023 06:00;1,93;Avlest
02.01.2023 06:00;02.01.2023 07:00;1,33;Avlest
02.01.2023 07:00;02.01.2023 08:00;1,38;Avlest
02.01.2023 08:00;02.01.2023 09:00;1,22;Avlest
02.01.2023 09:00;02.01.2023 10:00;1,48;Avlest
02.01.2023 10:00;02.01.2023 11:00;1,17;Avlest
02.01.2023 11:00;02.01.2023 12:00;1,83;Avlest
02.01.2023 12:00;02.01.2023 13:00;1,53;Avlest
02.01.2023 13:00;02.01.2023 14:00;1,92;Avlest
02.01.2023 14:00;02.01.2023 15:00;2,09;Avlest
02.01.2023 15:00;02.01.2023 16:00;2,23;Avlest
02.01.2023 16:00;02.01.2023 17:00;2,37;Avlest
02.01.2023 17:00;02.01.2023 18:00;2,46;Avlest
02.01.2023 18:00;02.01.2023 19:00;2,65;Avlest
02.01.2023 19:00;02.01.2023 20:00;6,06;Avlest
02.01.2023 20:00;02.01.2023 21:00;4,05;Avlest
02.01.2023 21:00;02.01.2023 22:00;4,35;Avlest
02.01.2023 22:00;02.01.2023 23:00;2,77;Avlest
02.01.2023 23:00;03.01.2023 00:00;2,15;Avlest
03.01.2023 00:00;03.01.2023 01:00;2,23;Avlest
03.01.2023 01:00;03.01.2023 02:00;1,93;Avlest
03.01.2023 02:00;03.01.2023 03:00;1,47;Avlest
03.01.2023 03:00;03.01.2023 04:00;1,98;Avlest
03.01.2023 04:00;03.01.2023 05:00;1,95;Avlest
03.01.2023 05:00;03.01.2023 06:00;1,96;Avlest
03.01.2023 06:00;03.01.2023 07:00;1,76;Avlest
03.01.2023 07:00;03.01.2023 08:00;0,96;Avlest
03.01.2023 08:00;03.01.2023 09:00;0,68;Avlest
03.01.2023 09:00;03.01.2023 10:00;0,6;Avlest
03.01.2023 10:00;03.01.2023 11:00;1,23;Avlest
03.01.2023 11:00;03.01.2023 12:00;0,79;Avlest
03.01.2023 12:00;03.01.2023 13:00;1,24;Avlest
03.01.2023 13:00;03.01.2023 14:00;1,34;Avlest
03.01.2023 14:00;03.01.2023 15:00;1,21;Avlest
03.01.2023 15:00;03.01.2023 16:00;1,47;Avlest
03.01.2023 16:00;03.01.2023 17:00;1,85;Avlest
03.01.2023 17:00;03.01.2023 18:00;1,63;Avlest
03.01.2023 18:00;03.01.2023 19:00;1,89;Avlest
03.01.2023 19:00;03.01.2023 20:00;2,64;Avlest
03.01.2023 20:00;03.01.2023 21:00;2,48;Avlest
03.01.2023 21:00;03.01.2023 22:00;2,25;Avlest
03.01.2023 22:00;03.01.2023 23:00;3,28;Avlest
03.01.2023 23:00;04.01.2023 00:00;2,96;Avlest
04.01.2023 00:00;04.01.2023 01:00;1,77;Avlest
04.01.2023 01:00;04.01.2023 02:00;1,7;Avlest
04.01.2023 02:00;04.01.2023 03:00;1,43;Avlest
04.01.2023 03:00;04.01.2023 04:00;1,44;Avlest
04.01.2023 04:00;04.01.2023 05:00;1,5;Avlest
