Fra;Til;KWH 60 Forbruk;Kvalitet
01.03.2024 00:00;01.03.2024 01:00;0,08;Avlest
01.03.2024 01:00;01.03.2024 02:00;0,08;Avlest
01.03.2024 02:00;01.03.2024 03:00;0,09;Avlest
01.03.2024 03:00;01.03.2024 04:00;0,77;Avlest
01.03.2024 04:00;01.03.2024 05:00;0,09;Avlest
01.03.2024 05:00;01.03.2024 06:00;0,08;Avlest
01.03.2024 06:00;01.03.2024 07:00;0,08;Avlest
01.03.2024 07:00;01.03.2024 08:00;1,07;Avlest
01.03.2024 08:00;01.03.2024 09:00;1,14;Avlest
01.03.2024 09:00;01.03.2024 10:00;0,51;Avlest
01.03.2024 10:00;01.03.2024 11:00;0,08;Avlest
01.03.2024 11:00;01.03.2024 12:00;0,1;Avlest
01.03.2024 12:00;01.03.2024 13:00;0,82;Avlest
01.03.2024 13:00;01.03.2024 14:00;0,08;Avlest
01.03.2024 14:00;01.03.2024 15:00;0,08;Avlest
01.03.2024 15:00;01.03.2024 16:00;0,84;Avlest
01.03.2024 16:00;01.03.2024 17:00;0,64;Avlest
01.03.2024 17:00;01.03.2024 18:00;1,96;Avlest
01.03.2024 18:00;01.03.2024 19:00;2,16;Avlest
01.03.2024 19:00;01.03.2024 20:00;2,56;Avlest
01.03.2024 20:00;01.03.2024 21:00;2,12;Avlest
01.03.2024 21:00;01.03.2024 22:00;2,12;Avlest
01.03.2024 22:00;01.03.2024 23:00;1,97;Avlest
01.03.2024 23:00;02.03.2024 00:00;0,5;Avlest
02.03.2024 00:00;02.03.2024 01:00;2,17;Avlest
02.03.2024 01:00;02.03.2024 02:00;2,07;Avlest
02.03.2024 02:00;02.03.2024 03:00;2,06;Avlest
02.03.2024 03:00;02.03.2024 04:00;1,38;Avlest
02.03.2024 04:00;02.03.2024 05:00;0,08;Avlest
02.03.2024 05:00;02.03.2024 06:00;0,1;Avlest
02.03.2024 06:00;02.03.2024 07:00;0,08;Avlest
02.03.2024 07:00;02.03.2024 08:00;0,81;Avlest
