Fra;Til;KWH 60 Forbruk;Kvalitet
01.05.2024 00:00;01.05.2024 01:00;1,54;Avlest
01.05.2024 01:00;01.05.2024 02:00;0,1;Avlest
01.05.2024 02:00;01.05.2024 03:00;0,08;Avlest
01.05.2024 03:00;01.05.2024 04:00;0,09;Avlest
01.05.2024 04:00;01.05.2024 05:00;0,36;Avlest
01.05.2024 05:00;01.05.2024 06:00;0,57;Avlest
01.05.2024 06:00;01.05.2024 07:00;0,09;Avlest
01.05.2024 07:00;01.05.2024 08:00;0,09;Avlest
01.05.2024 08:00;01.05.2024 09:00;0,07;Avlest
01.05.2024 09:00;01.05.2024 10:00;0,82;Avlest
01.05.2024 10:00;01.05.2024 11:00;0,87;Avlest
01.05.2024 11:00;01.05.2024 12:00;0,45;Avlest
01.05.2024 12:00;01.05.2024 13:00;1,28;Avlest
01.05.2024 13:00;01.05.2024 14:00;0,92;Avlest
01.05.2024 14:00;01.05.2024 15:00;0,1;Avlest
01.05.2024 15:00;01.05.2024 16:00;1,82;Avlest
01.05.2024 16:00;01.05.2024 17:00;0,49;Avlest
01.05.2024 17:00;01.05.2024 18:00;0,09;Avlest
01.05.2024 18:00;01.05.2024 19:00;0,1;Avlest
01.05.2024 19:00;01.05.2024 20:00;1,09;Avlest
01.05.2024 20:00;01.05.2024 21:00;0,99;Avlest
01.05.2024 21:00;01.05.2024 22:00;2,21;Avlest
01.05.2024 22:00;01.05.2024 23:00;2,27;Avlest
01.05.2024 23:00;02.05.2024 00:00;2,09;Avlest
02.05.2024 00:00;02.05.2024 01:00;2,02;Avlest
02.05.2024 01:00;02.05.2024 02:00;2,05;Avlest
02.05.2024 02:00;02.05.2024 03:00;0,26;Avlest
02.05.2024 03:00;02.05.2024 04:00;0,09;Avlest
02.05.2024 04:00;02.05.2024 05:00;0,09;Avlest
02.05.2024 05:00;02.05.2024 06:00;0,08;Avlest
02.05.2024 06:00;02.05.2024 07:00;0,55;Avlest
02.05.2024 07:00;02.05.2024 08:00;1,02;Avlest
