Fra;Til;KWH 60 Forbruk;Kvalitet
01.02.2025 00:00;01.02.2025 01:00;6,9;Avlest
01.02.2025 01:00;01.02.2025 02:00;8,38;Avlest
01.02.2025 02:00;01.02.2025 03:00;7,56;Avlest
01.02.2025 03:00;01.02.2025 04:00;7,62;Avlest
01.02.2025 04:00;01.02.2025 05:00;7,91;Avlest
01.02.2025 05:00;01.02.2025 06:00;8,31;Avlest
01.02.2025 06:00;01.02.2025 07:00;8,57;Avlest
01.02.2025 07:00;01.02.2025 08:00;8,17;Avlest
01.02.2025 08:00;01.02.2025 09:00;9,91;Avlest
01.02.2025 09:00;01.02.2025 10:00;8,4;Avlest
01.02.2025 10:00;01.02.2025 11:00;6,31;Avlest
01.02.2025 11:00;01.02.2025 12:00;7,45;Avlest
01.02.2025 12:00;01.02.2025 13:00;5,56;Avlest
01.02.2025 13:00;01.02.2025 14:00;4,34;Avlest
01.02.2025 14:00;01.02.2025 15:00;4,99;Avlest
01.02.2025 15:00;01.02.2025 16:00;6,4;Avlest
01.02.2025 16:00;01.02.2025 17:00;6,03;Avlest
01.02.2025 17:00;01.02.2025 18:00;4,58;Avlest
01.02.2025 18:00;01.02.2025 19:00;3,37;Avlest
01.02.2025 19:00;01.02.2025 20:00;4,09;Avlest
01.02.2025 20:00;01.02.2025 21:00;5,84;Avlest
01.02.2025 21:00;01.02.2025 22:00;7,98;Avlest
01.02.2025 22:00;01.02.2025 23:00;8,24;Avlest
01.02.2025 23:00;02.02.2025 00:00;8,9;Avlest
02.02.2025 00:00;02.02.2025 01:00;7,01;Avlest
02.02.2025 01:00;02.02.2025 02:00;6,52;Avlest
02.02.2025 02:00;02.02.2025 03:00;5,94;Avlest
02.02.2025 03:00;02.02.2025 04:00;5,59;Avlest
02.02.2025 04:00;02.02.2025 05:00;2,6;Avlest
02.02.2025 05:00;02.02.2025 06:00;3,21;Avlest
02.02.2025 06:00;02.02.2025 07:00;4,06;Avlest
02.02.2025 07:00;02.02.2025 08:00;4,1;Avlest
02.02.2025 08:00;02.02.2025 09:00;3,78;Avlest
02.02.2025 09:00;02.02.2025 10:00;3,51;Avlest
