Fra;Til;KWH 60 Forbruk;Kvalitet
01.06.2024 00:00;01.06.2024 01:00;3,93;Avlest
01.06.2024 01:00;01.06.2024 02:00;3,91;Avlest
01.06.2024 02:00;01.06.2024 03:00;5,68;Avlest
01.06.2024 03:00;01.06.2024 04:00;6,22;Avlest
01.06.2024 04:00;01.06.2024 05:00;5,72;Avlest
01.06.2024 05:00;01.06.2024 06:00;5,41;Avlest
01.06.2024 06:00;01.06.2024 07:00;4,89;Avlest
01.06.2024 07:00;01.06.2024 08:00;3,19;Avlest
01.06.2024 08:00;01.06.2024 09:00;3,49;Avlest
01.06.2024 09:00;01.06.2024 10:00;1,57;Avlest
01.06.2024 10:00;01.06.2024 11:00;0;Avlest
01.06.2024 11:00;01.06.2024 12:00;0,7;Avlest
01.06.2024 12:00;01.06.2024 13:00;0,02;Avlest
01.06.2024 13:00;01.06.2024 14:00;0;Avlest
01.06.2024 14:00;01.06.2024 15:00;0,02;Avlest
01.06.2024 15:00;01.06.2024 16:00;0,73;Avlest
01.06.2024 16:00;01.06.2024 17:00;0,02;Avlest
01.06.2024 17:00;01.06.2024 18:00;0,01;Avlest
01.06.2024 18:00;01.06.2024 19:00;1,65;Avlest
01.06.2024 19:00;01.06.2024 20:00;0,23;Avlest
01.06.2024 20:00;01.06.2024 21:00;0,93;Avlest
01.06.2024 21:00;01.06.2024 22:00;2,45;Avlest
01.06.2024 22:00;01.06.2024 23:00;2,14;Avlest
01.06.2024 23:00;02.06.2024 00:00;2,69;Avlest
02.06.2024 00:00;02.06.2024 01:00;2,12;Avlest
02.06.2024 01:00;02.06.2024 02:00;2,17;Avlest
02.06.2024 02:00;02.06.2024 03:00;1,13;Avlest
02.06.2024 03:00;02.06.2024 04:00;3,14;Avlest
02.06.2024 04:00;02.06.2024 05:00;9,3;Avlest
02.06.2024 05:00;02.06.2024 06:00;8,1;Avlest
02.06.2024 06:00;02.06.2024 07:00;2,33;Avlest
02.06.2024 07:00;02.06.2024 08:00;0;Avlest
02.06.2024 08:00;02.06.2024 09:00;0;Avlest
02.06.2024 09:00;02.06.2024 10:00;0;Avlest
02.06.2024 10:00;02.06.2024 11:00;0;Avlest
02.06.2024 11:00;02.06.2024 12:00;0;Avlest
02.06.2024 12:00;02.06.2024 13:00;0;Avlest
02.06.2024 13:00;02.06.2024 14:00;0;Avlest
02.06.2024 14:00;02.06.2024 15:00;0;Avlest
02.06.2024 15:00;02.06.2024 16:00;0;Avlest
02.06.2024 16:00;02.06.2024 17:00;0;Avlest
02.06.2024 17:00;02.06.2024 18:00;0;Avlest
02.06.2024 18:00;02.06.2024 19:00;0;Avlest
02.06.2024 19:00;02.06.2024 20:00;0;Avlest
02.06.2024 20:00;02.06.2024 21:00;0,13;Avlest
02.06.2024 21:00;02.06.2024 22:00;2,74;Avlest
02.06.2024 22:00;02.06.2024 23:00;4,52;Avlest
02.06.2024 23:00;03.06.2024 00:00;3,98;Avlest
03.06.2024 00:00;03.06.2024 01:00;4,61;Avlest
03.06.2024 01:00;03.06.2024 02:00;3,76;Avlest
03.06.2024 02:00;03.06.2024 03:00;8,85;Avlest
03.06.2024 03:00;03.06.2024 04:00;9,33;Avlest
03.06.2024 04:00;03.06.2024 05:00;9,29;Avlest
03.06.2024 05:00;03.06.2024 06:00;8,84;Avlest
03.06.2024 06:00;03.06.2024 07:00;2,29;Avlest
03.06.2024 07:00;03.06.2024 08:00;1,1;Avlest
03.06.2024 08:00;03.06.2024 09:00;0,96;Avlest
03.06.2024 09:00;03.06.2024 10:00;0;Avlest
03.06.2024 10:00;03.06.2024 11:00;0;Avlest
03.06.2024 11:00;03.06.2024 12:00;0;Avlest
03.06.2024 12:00;03.06.2024 13:00;0;Avlest
03.06.2024 13:00;03.06.2024 14:00;0;Avlest
03.06.2024 14:00;03.06.2024 15:00;0;Avlest
03.06.2024 15:00;03.06.2024 16:00;0;Avlest
03.06.2024 16:00;03.06.2024 17:00;0;Avlest
03.06.2024 17:00;03.06.2024 18:00;0,22;Avlest
03.06.2024 18:00;03.06.2024 19:00;0,62;Avlest
03.06.2024 19:00;03.06.2024 20:00;2,27;Avlest
03.06.2024 20:00;03.06.2024 21:00;3,81;Avlest
03.06.2024 21:00;03.06.2024 22:00;3,42;Avlest
03.06.2024 22:00;03.06.2024 23:00;3,87;Avlest
03.06.2024 23:00;04.06.2024 00:00;4,46;Avlest
04.06.2024 00:00;04.06.2024 01:00;3,83;Avlest
04.06.2024 01:00;04.06.2024 02:00;11,58;Avlest
04.06.2024 02:00;04.06.2024 03:00;10,34;Avlest
