Fra;Til;KWH 60 Forbruk;Kvalitet
01.07.2024 00:00;01.07.2024 01:00;0,12;Avlest
01.07.2024 01:00;01.07.2024 02:00;0,1;Avlest
01.07.2024 02:00;01.07.2024 03:00;0,9;Avlest
01.07.2024 03:00;01.07.2024 04:00;0,09;Avlest
01.07.2024 04:00;01.07.2024 05:00;0,08;Avlest
01.07.2024 05:00;01.07.2024 06:00;0,09;Avlest
01.07.2024 06:00;01.07.2024 07:00;0,08;Avlest
01.07.2024 07:00;01.07.2024 08:00;0,86;Avlest
01.07.2024 08:00;01.07.2024 09:00;0,09;Avlest
01.07.2024 09:00;01.07.2024 10:00;0,22;Avlest
01.07.2024 10:00;01.07.2024 11:00;0,09;Avlest
01.07.2024 11:00;01.07.2024 12:00;0,07;Avlest
01.07.2024 12:00;01.07.2024 13:00;0,95;Avlest
01.07.2024 13:00;01.07.2024 14:00;0,24;Avlest
01.07.2024 14:00;01.07.2024 15:00;2,26;Avlest
01.07.2024 15:00;01.07.2024 16:00;2,19;Avlest
01.07.2024 16:00;01.07.2024 17:00;0,43;Avlest
01.07.2024 17:00;01.07.2024 18:00;1,1;Avlest
01.07.2024 18:00;01.07.2024 19:00;0,07;Avlest
01.07.2024 19:00;01.07.2024 20:00;0,1;Avlest
01.07.2024 20:00;01.07.2024 21:00;0,42;Avlest
01.07.2024 21:00;01.07.2024 22:00;2,22;Avlest
01.07.2024 22:00;01.07.2024 23:00;1,93;Avlest
01.07.2024 23:00;02.07.2024 00:00;0,21;Avlest
02.07.2024 00:00;02.07.2024 01:00;0,1;Avlest
02.07.2024 01:00;02.07.2024 02:00;0,78;Avlest
02.07.2024 02:00;02.07.2024 03:00;0,11;Avlest
02.07.2024 03:00;02.07.2024 04:00;0,1;Avlest
02.07.2024 04:00;02.07.2024 05:00;0,11;Avlest
02.07.2024 05:00;02.07.2024 06:00;0,08;Avlest
02.07.2024 06:00;02.07.2024 07:00;0,8;Avlest
02.07.2024 07:00;02.07.2024 08:00;0,08;Avlest
02.07.2024 08:00;02.07.2024 09:00;0,08;Avlest
02.07.2024 09:00;02.07.2024 10:00;0,21;Avlest
02.07.2024 10:00;02.07.2024 11:00;0,32;Avlest
02.07.2024 11:00;02.07.2024 12:00;0,93;Avlest
