Fra;Til;KWH 60 Forbruk;Kvalitet
01.11.2022 00:00;01.11.2022 01:00;0,122;Avlest
01.11.2022 01:00;01.11.2022 02:00;0,488;Avlest
01.11.2022 02:00;01.11.2022 03:00;0,108;Avlest
01.11.2022 03:00;01.11.2022 04:00;0,113;Avlest
01.11.2022 04:00;01.11.2022 05:00;0,118;Avlest
01.11.2022 05:00;01.11.2022 06:00;0,138;Avlest
01.11.2022 06:00;01.11.2022 07:00;0,121;Avlest
01.11.2022 07:00;01.11.2022 08:00;0,504;Avlest
01.11.2022 08:00;01.11.2022 09:00;0,244;Avlest
01.11.2022 09:00;01.11.2022 10:00;0,293;Avlest
01.11.2022 10:00;01.11.2022 11:00;0,331;Avlest
01.11.2022 11:00;01.11.2022 12:00;0,384;Avlest
01.11.2022 12:00;01.11.2022 13:00;0,305;Avlest
01.11.2022 13:00;01.11.2022 14:00;0,67;Avlest
01.11.2022 14:00;01.11.2022 15:00;0,253;Avlest
01.11.2022 15:00;01.11.2022 16:00;0,286;Avlest
01.11.2022 16:00;01.11.2022 17:00;0,268;Avlest
01.11.2022 17:00;01.11.2022 18:00;0,202;Avlest
01.11.2022 18:00;01.11.2022 19:00;0,236;Avlest
01.11.2022 19:00;01.11.2022 20:00;0,272;Avlest
01.11.2022 20:00;01.11.2022 21:00;0,285;Avlest
01.11.2022 21:00;01.11.2022 22:00;0,663;Avlest
01.11.2022 22:00;01.11.2022 23:00;0,211;Avlest
01.11.2022 23:00;02.11.2022 00:00;0,256;Avlest
02.11.2022 00:00;02.11.2022 01:00;0,242;Avlest
02.11.2022 01:00;02.11.2022 02:00;0,289;Avlest
02.11.2022 02:00;02.11.2022 03:00;0,324;Avlest
02.11.2022 03:00;02.11.2022 04:00;0,268;Avlest
02.11.2022 04:00;02.11.2022 05:00;0,273;Avlest
02.11.2022 05:00;02.11.2022 06:00;0,332;Avlest
02.11.2022 06:00;02.11.2022 07:00;0,241;Avlest
02.11.2022 07:00;02.11.2022 08:00;0,661;Avlest
02.11.2022 08:00;02.11.2022 09:00;0,312;Avlest
02.11.2022 09:00;02.11.2022 10:00;0,269;Avlest
02.11.2022 10:00;02.11.2022 11:00;0,273;Avlest
02.11.2022 11:00;02.11.2022 12:00;0,31;Avlest
02.11.2022 12:00;02.11.2022 13:00;0,33;Avlest
02.11.2022 13:00;02.11.2022 14:00;0,324;Avlest
02.11.2022 14:00;02.11.2022 15:00;0,294;Avlest
02.11.2022 15:00;02.11.2022 16:00;0,329;Avlest
02.11.2022 16:00;02.11.2022 17:00;0,377;Avlest
02.11.2022 17:00;02.11.2022 18:00;0,763;Avlest
02.11.2022 18:00;02.11.2022 19:00;0,405;Avlest
02.11.2022 19:00;02.11.2022 20:00;0,344;Avlest
02.11.2022 20:00;02.11.2022 21:00;0,375;Avlest
02.11.2022 21:00;02.11.2022 22:00;0,351;Avlest
02.11.2022 22:00;02.11.2022 23:00;0,278;Avlest
02.11.2022 23:00;03.11.2022 00:00;0,277;Avlest
03.11.2022 00:00;03.11.2022 01:00;0,298;Avlest
03.11.2022 01:00;03.11.2022 02:00;0,241;Avlest
03.11.2022 02:00;03.11.2022 03:00;0,264;Avlest
03.11.2022 03:00;03.11.2022 04:00;0,313;Avlest
03.11.2022 04:00;03.11.2022 05:00;0,711;Avlest
03.11.2022 05:00;03.11.2022 06:00;0,291;Avlest
03.11.2022 06:00;03.11.2022 07:00;0,273;Avlest
03.11.2022 07:00;03.11.2022 08:00;0,33;Avlest
03.11.2022 08:00;03.11.2022 09:00;0,329;Avlest
03.11.2022 09:00;03.11.2022 10:00;0,276;Avlest
03.11.2022 10:00;03.11.2022 11:00;0,327;Avlest
03.11.2022 11:00;03.11.2022 12:00;0,326;Avlest
03.11.2022 12:00;03.11.2022 13:00;0,292;Avlest
03.11.2022 13:00;03.11.2022 14:00;0,311;Avlest
03.11.2022 14:00;03.11.2022 15:00;0,801;Avlest
03.11.2022 15:00;03.11.2022 16:00;0,333;Avlest
03.11.2022 16:00;03.11.2022 17:00;0,328;Avlest
03.11.2022 17:00;03.11.2022 18:00;0,289;Avlest
03.11.2022 18:00;03.11.2022 19:00;0,327;Avlest
03.11.2022 19:00;03.11.2022 20:00;0,335;Avlest
03.11.2022 20:00;03.11.2022 21:00;0,33;Avlest
03.11.2022 21:00;03.11.2022 22:00;0,27;Avlest
03.11.2022 22:00;03.11.2022 23:00;0,308;Avlest
03.11.2022 23:00;04.11.2022 00:00;0,303;Avlest
04.11.2022 00:00;04.11.2022 01:00;0,782;Avlest
04.11.2022 01:00;04.11.2022 02:00;0,297;Avlest
04.11.2022 02:00;04.11.2022 03:00;0,296;Avlest
04.11.2022 03:00;04.11.2022 04:00;0,305;Avlest
04.11.2022 04:00;04.11.2022 05:00;0,278;Avlest
04.11.2022 05:00;04.11.2022 06:00;0,321;Avlest
04.11.2022 06:00;04.11.2022 07:00;0,359;Avlest
04.11.2022 07:00;04.11.2022 08:00;0,343;Avlest
04.11.2022 08:00;04.11.2022 09:00;0,289;Avlest
04.11.2022 09:00;04.11.2022 10:00;0,288;Avlest
04.11.2022 10:00;04.11.2022 11:00;0,334;Avlest
04.11.2022 11:00;04.11.2022 12:00;0,773;Avlest
04.11.2022 12:00;04.11.2022 13:00;0,334;Avlest
04.11.2022 13:00;04.11.2022 14:00;0,273;Avlest
04.11.2022 14:00;04.11.2022 15:00;0,304;Avlest
04.11.2022 15:00;04.11.2022 16:00;0,309;Avlest
04.11.2022 16:00;04.11.2022 17:00;0,33;Avlest
04.11.2022 17:00;04.11.2022 18:00;0,315;Avlest
04.11.2022 18:00;04.11.2022 19:00;0,356;Avlest
04.11.2022 19:00;04.11.2022 20:00;0,35;Avlest
04.11.2022 20:00;04.11.2022 21:00;0,328;Avlest
04.11.2022 21:00;04.11.2022 22:00;0,775;Avlest
04.11.2022 22:00;04.11.2022 23:00;0,367;Avlest
04.11.2022 23:00;05.11.2022 00:00;0,359;Avlest
05.11.2022 00:00;05.11.2022 01:00;0,319;Avlest
05.11.2022 01:00;05.11.2022 02:00;0,321;Avlest
05.11.2022 02:00;05.11.2022 03:00;0,338;Avlest
05.11.2022 03:00;05.11.2022 04:00;0,336;Avlest
05.11.2022 04:00;05.11.2022 05:00;0,33;Avlest
05.11.2022 05:00;05.11.2022 06:00;0,345;Avlest
05.11.2022 06:00;05.11.2022 07:00;0,305;Avlest
05.11.2022 07:00;05.11.2022 08:00;0,872;Avlest
05.11.2022 08:00;05.11.2022 09:00;2,248;Avlest
05.11.2022 09:00;05.11.2022 10:00;0,336;Avlest
05.11.2022 10:00;05.11.2022 11:00;0,304;Avlest
05.11.2022 11:00;05.11.2022 12:00;0,32;Avlest
05.11.2022 12:00;05.11.2022 13:00;0,568;Avlest
05.11.2022 13:00;05.11.2022 14:00;0,466;Avlest
05.11.2022 14:00;05.11.2022 15:00;0,243;Avlest
05.11.2022 15:00;05.11.2022 16:00;0,206;Avlest
05.11.2022 16:00;05.11.2022 17:00;0,234;Avlest
05.11.2022 17:00;05.11.2022 18:00;0,655;Avlest
05.11.2022 18:00;05.11.2022 19:00;0,266;Avlest
05.11.2022 19:00;05.11.2022 20:00;0,36;Avlest
05.11.2022 20:00;05.11.2022 21:00;0,772;Avlest
05.11.2022 21:00;05.11.2022 22:00;0,359;Avlest
05.11.2022 22:00;05.11.2022 23:00;0,302;Avlest
05.11.2022 23:00;06.11.2022 00:00;0,837;Avlest
06.11.2022 00:00;06.11.2022 01:00;0,293;Avlest
06.11.2022 01:00;06.11.2022 02:00;0,221;Avlest
06.11.2022 02:00;06.11.2022 03:00;0,226;Avlest
06.11.2022 03:00;06.11.2022 04:00;0,206;Avlest
06.11.2022 04:00;06.11.2022 05:00;0,228;Avlest
06.11.2022 05:00;06.11.2022 06:00;0,3;Avlest
06.11.2022 06:00;06.11.2022 07:00;0,52;Avlest
06.11.2022 07:00;06.11.2022 08:00;0,216;Avlest
06.11.2022 08:00;06.11.2022 09:00;0,236;Avlest
06.11.2022 09:00;06.11.2022 10:00;0,232;Avlest
06.11.2022 10:00;06.11.2022 11:00;0,212;Avlest
06.11.2022 11:00;06.11.2022 12:00;0,229;Avlest
06.11.2022 12:00;06.11.2022 13:00;0,214;Avlest
06.11.2022 13:00;06.11.2022 14:00;0,216;Avlest
06.11.2022 14:00;06.11.2022 15:00;0,644;Avlest
06.11.2022 15:00;06.11.2022 16:00;0,241;Avlest
06.11.2022 16:00;06.11.2022 17:00;0,263;Avlest
06.11.2022 17:00;06.11.2022 18:00;0,228;Avlest
06.11.2022 18:00;06.11.2022 19:00;0,207;Avlest
06.11.2022 19:00;06.11.2022 20:00;0,231;Avlest
06.11.2022 20:00;06.11.2022 21:00;0,431;Avlest
06.11.2022 21:00;06.11.2022 22:00;0,26;Avlest
06.11.2022 22:00;06.11.2022 23:00;0,571;Avlest
